GEOID,County,Score,Percentile,DAC,area
6059099508,Orange,22.082415605286663,42.30963187090268,No,1225975.08
6059099509,Orange,20.729047764088303,39.33434190620272,No,1108445.29
6059099510,Orange,20.03190448322936,37.63237518910741,No,1349955.12
6059099511,Orange,10.533942032172542,14.23348461926374,No,2260757.73
6059099512,Orange,13.345430336907212,21.3565305093293,No,602591.97
6059099513,Orange,15.939901318032756,27.672718103883003,No,988256.55
6059099514,Orange,9.755115381979657,12.355017650025214,No,2450181.13
6059099601,Orange,51.94336609295766,89.96469994957135,Yes,3240222.68
6059099602,Orange,22.61833755399395,43.53252647503782,No,1336546.13
6059099603,Orange,23.7063270451894,45.953101361573374,No,5347860.62
6059099604,Orange,12.198834369594742,18.444276348966213,No,1280478.08
6059099605,Orange,22.08429421036737,42.34745335350479,No,1928456.12
6059099701,Orange,34.96659881687722,67.48613212304589,No,1894079.51
6059099702,Orange,40.10529714653383,75.11346444780635,Yes,1952873.71
6059099703,Orange,29.132799814087345,57.11043872919819,No,1928836.31
6059099801,Orange,40.162636607538246,75.25214321734745,Yes,1510900.15
6059099802,Orange,50.7374766376128,88.6031265758951,Yes,1002567.21
6059099803,Orange,37.48323863820747,71.36913767019666,No,1264479.01
6059099902,Orange,30.460546685153567,59.556227937468485,No,1370280.44
6059099903,Orange,35.75578422720952,68.78466969238526,No,1346175.7
6059099904,Orange,45.0821306019304,82.1104387291982,Yes,1323243.83
6059099905,Orange,26.62881881514591,52.28189611699445,No,1003326.9
6059099906,Orange,22.093912601998447,42.36006051437216,No,1720818.82
6059110001,Orange,22.842154280457503,44.03681290973272,No,1260077.09
6059110003,Orange,23.8928825587326,46.48260211800302,No,1306844.16
6059110004,Orange,14.23108710457275,23.613212304589005,No,1824155.33
6059110005,Orange,16.131350662733325,28.24004034291477,No,1073057.9
6059110006,Orange,19.7214616623948,36.80030257186082,No,1362047.16
6059110007,Orange,25.651895618630096,50.26475037821483,No,2441875.53
6059110008,Orange,16.505894715261704,29.109934442763493,No,1846319.06
6059110010,Orange,17.35463635237273,31.202723146747356,No,1302179.85
6059110011,Orange,25.54348278721136,49.974785678265256,No,1295806.52
6059110012,Orange,15.361907981287096,26.336359051941503,No,2397903.09
6059110014,Orange,27.690788615499383,54.311649016641454,No,671947.08
6059110015,Orange,16.402607521016826,28.81996974281392,No,7198724.37
6059110102,Orange,15.954719741458478,27.69793242561775,No,1540773.97
6059110104,Orange,19.829272182151524,37.02723146747353,No,1778101.81
6059110106,Orange,22.73890159593845,43.885526979324254,No,765262.85
6059110108,Orange,23.66191177274276,45.76399394856278,No,2044636.18
6059110109,Orange,17.525490411405766,31.631366616238022,No,1302056.39
6059110110,Orange,28.10121684409545,55.19415027735754,No,1979517.04
6059110111,Orange,27.21009963215011,53.46696923852748,No,2168429.71
6059110113,Orange,22.910358370527604,44.251134644478064,No,3851433.64
6059110114,Orange,18.95195912440471,34.997478567826526,No,1586834.91
6059110115,Orange,20.616149493867518,39.12002017145738,No,1637658.67
6059110116,Orange,22.502801108502343,43.24256177508825,No,1238561.82
6059110117,Orange,20.811322059351564,39.586485123550176,No,1324393.32
6059110118,Orange,15.973499746519655,27.74836106908724,No,666258.53
6059110201,Orange,35.38056963587544,68.11649016641452,No,1958432.13
6059110202,Orange,27.027948410755283,53.10136157337367,No,1316160.6
6059110203,Orange,19.652211469697868,36.64901664145234,No,1287287.1
6059110301,Orange,28.01740310591246,54.99243570347958,No,1833972.57
6059110302,Orange,36.96144079960422,70.52445789208271,No,2192509.29
6059110303,Orange,20.012765399418768,37.556732223903175,No,1288098.14
6059110304,Orange,25.987037497899387,50.94553706505295,No,1317830.22
6059110401,Orange,28.087451721266543,55.16893595562279,No,2262306.42
6059110402,Orange,43.12298312828681,79.6646495209279,Yes,1969883.04
6059110500,Orange,60.66180592305642,96.10438729198184,Yes,4598596.33
6059110603,Orange,54.65713246598837,92.2592032274332,Yes,1879079.18
6059110604,Orange,32.87214020915146,63.779626828038325,No,3520020.11
6059110605,Orange,20.58023157716157,39.03177004538578,No,2375728.64
6059110606,Orange,44.86817338378835,81.85829551185073,Yes,1036544.47
6059110607,Orange,32.96415164073759,63.956127080181545,No,1289013.85
6059980000,,,,Missing,2810762.14
6059990100,,,,Missing,356697636.11
6061020104,Placer,4.209280211344384,1.9036812909732728,No,23539459.46
6061020105,Placer,2.9125188219234555,0.6429652042360061,No,28413544.73
6061020106,Placer,9.84109795376852,12.48108925869894,No,22565053.41
6061020107,Placer,14.65967756108262,24.659606656580937,No,7444167.16
6061020200,Placer,10.072884213572252,13.098840141200204,No,1467365020.69
6061020300,Placer,24.15512269426435,47.07513867876954,No,5368087.36
6061020401,Placer,22.35723619015909,42.95259707513868,No,2618027.45
6061020402,Placer,11.1800380664388,15.872415532022188,No,8388203.51
6061020501,Placer,10.09938257381656,13.17448310640444,No,26894224.3
6061020502,Placer,7.399667244757047,7.463439233484618,No,27595980.68
6061020601,Placer,6.051023568054327,4.765506807866869,No,45880193.66
6061020602,Placer,10.704984493030262,14.662128088754413,No,
6061020604,Placer,6.023372534134242,4.702471003530005,No,11471275.31
6061020605,Placer,8.168428098768347,8.850226928895614,No,10577113.68
6061020606,Placer,2.266903507138771,0.3656076651538074,No,4131057.44
6061020607,,,,Missing,27754293.57
6061020608,,,,Missing,21304853.78
6061020710,Placer,4.867806749967443,2.849218356026223,No,3590927.93
6061020711,Placer,10.479636751770087,14.03177004538578,No,2812541.59
6061020712,Placer,19.64315658458211,36.623802319717605,No,1815737.13
6061020713,Placer,20.26690888649462,38.149268784669694,No,1523373.21
6061020714,Placer,14.053421457959985,23.184568835098336,No,2348428.93
6061020715,Placer,7.745924754985188,8.068582955118506,No,1431812.16
6061020717,Placer,9.74880852693424,12.329803328290469,No,6421760.14
6061020805,Placer,24.43485024142635,47.70549672213817,No,2077698.32
6061020806,Placer,25.0098089799548,48.73928391326273,No,2118369.13
6061020901,Placer,33.437953886519914,64.86384266263238,No,1798063.23
6061020908,Placer,28.31569562885308,55.48411497730711,No,10613530.41
6061021003,Placer,27.38657314941759,53.73171961674231,No,7668623.36
6061021034,Placer,12.750385679121242,19.793242561775088,No,2774551.68
6061021035,Placer,7.582561693934988,7.854261220373172,No,
6061021037,Placer,9.247745776596211,11.119515885022691,No,1065537.86
6061021038,Placer,12.21423817877512,18.48209783156833,No,2795833.07
6061021039,Placer,8.424743670305098,9.442763489662129,No,1851828.31
6061021040,Placer,10.407838519914533,13.830055471507816,No,2796050.2
6061021043,Placer,11.14377739984523,15.784165405950578,No,5824343.43
6061021044,Placer,5.629978418508182,3.983862834089763,No,2401628.36
6061021045,Placer,20.47853119561395,38.66616238023197,No,1563043.95
6061021046,Placer,14.429643575108066,24.117498739283917,No,1671159.48
6061021047,,,,Missing,2636807.83
6061021048,,,,Missing,1062075.0
6061021103,Placer,20.68083955321152,39.27130610186586,No,4827279.5
6061021106,Placer,5.264515520396477,3.479576399394856,No,2139287.97
6061021108,Placer,19.55663908073059,36.3464447806354,No,1884157.8
6061021109,Placer,13.498229039533204,21.696923852748363,No,5999955.51
6061021122,Placer,2.7030879145210247,0.529500756429652,No,3106097.16
6061021123,Placer,4.805772658168547,2.760968229954614,No,11845878.61
6061021128,Placer,7.292939348379736,7.312153303076148,No,1157013.13
