Census Tract,Total,Poverty,TotalWhite,PovertyWhite,TotalBlack,PovertyBlack,TotalAIAN,PovertyAIAN,TotalAsian,PovertyAsian,TotalNHPI,PovertyNHPI,TotalOther,PovertyOther,TotalMixed,PovertyMixed,TotalWhiteNH,PovertyWhiteNH,TotalLatine,PovertyLatine,Inequality,pWhiteNH,pLatine,pBlack,pAIAN,pAsian,pNHPI,pOther,pMixed,pWhiteNH_poverty,pLatine_poverty,pBlack_poverty,pAIAN_poverty,pAsian_poverty,pNHPI_poverty,pOther_poverty,pMixed_poverty
6001435102,4743,378,2382,267,647,6,25,25,1180,22,0,0,103,0,406,58,1412,159,1254,164,0.3361,0.2977018764495045,0.26438962681846934,0.13641155386885936,0.005270925574530887,0.2487876871178579,0,0.021716213367067257,0.08559983133038161,0.11260623229461757,0.13078149920255183,0.00927357032457496,1,0.01864406779661017,NA,0,0.14285714285714285
6001435103,7393,278,2746,94,542,20,0,0,3294,131,0,0,152,9,659,24,2162,94,802,9,0.3987,0.2924387934532666,0.10848099553631814,0.0733125929933721,0,0.44555660760178545,0,0.020559989178953065,0.08913837413769782,0.043478260869565216,0.011221945137157107,0.03690036900369004,NA,0.03976927747419551,NA,0.05921052631578947,0.036418816388467376
6001435104,6106,740,1846,270,677,15,35,0,1619,183,102,0,1260,250,567,22,877,72,2357,460,0.4269,0.1436292171634458,0.3860137569603668,0.11087454962332133,0.005732066819521782,0.2651490337373076,0.016704880445463477,0.20635440550278414,0.09285948247625286,0.08209806157354618,0.1951633432329232,0.022156573116691284,0,0.11303273625694873,0,0.1984126984126984,0.03880070546737213
6001435200,4570,245,1626,79,926,70,11,3,1127,0,7,0,485,37,388,56,1010,79,1240,55,0.409,0.2210065645514223,0.2713347921225383,0.20262582056892778,0.0024070021881838076,0.24660831509846828,0.0015317286652078775,0.1061269146608315,0.08490153172866521,0.07821782178217822,0.04435483870967742,0.0755939524838013,0.2727272727272727,0,0,0.07628865979381444,0.14432989690721648
6001435300,4500,371,1702,55,1047,143,7,0,737,68,258,0,443,105,306,0,1091,18,1234,142,0.3764,0.24244444444444443,0.2742222222222222,0.23266666666666666,0.0015555555555555555,0.16377777777777777,0.05733333333333333,0.09844444444444445,0.068,0.016498625114573784,0.11507293354943274,0.13658070678127984,0,0.09226594301221167,0,0.23702031602708803,0
6001435400,4451,668,1588,327,1214,154,18,0,890,53,35,0,322,9,384,125,941,260,1058,115,0.4457,0.21141316558076836,0.23769939339474275,0.2727476971467086,0.004044035048303752,0.19995506627724108,0.007863401482812851,0.07234329364187823,0.08627274769714671,0.2763018065887354,0.10869565217391304,0.12685337726523888,0,0.05955056179775281,0,0.027950310559006212,0.3255208333333333
6001435500,3951,477,1848,226,533,91,57,3,435,11,134,0,690,132,254,14,1139,126,1650,246,0.5061,0.2882814477347507,0.4176157934700076,0.134902556314857,0.01442672741078208,0.11009870918754745,0.03391546443938243,0.17463933181473046,0.06428752214629208,0.1106233538191396,0.14909090909090908,0.17073170731707318,0.05263157894736842,0.02528735632183908,0,0.19130434782608696,0.05511811023622047
6001435601,5551,697,2093,396,697,124,4,0,724,84,139,0,1671,47,223,46,591,35,3228,408,0.3537,0.10646730318861466,0.5815168438119258,0.1255629616285354,7.205908845253108e-4,0.13042695009908126,0.02504053323725455,0.30102684201044855,0.040172941812286075,0.05922165820642978,0.12639405204460966,0.17790530846484937,0,0.11602209944751381,0,0.028126870137642132,0.2062780269058296
6001435602,5304,849,2965,591,414,101,49,0,550,53,43,25,1038,29,245,50,1238,194,3044,426,0.3538,0.23340874811463047,0.5739064856711915,0.07805429864253394,0.009238310708898944,0.10369532428355958,0.008107088989441931,0.19570135746606335,0.04619155354449472,0.1567043618739903,0.13994743758212877,0.24396135265700483,0,0.09636363636363636,0.5813953488372093,0.027938342967244702,0.20408163265306123
6001435700,5231,723,2524,246,599,403,13,0,731,66,158,8,889,0,317,0,1116,45,2483,201,0.4036,0.21334352896195757,0.47467023513668516,0.11450965398585357,0.0024851844771554194,0.1397438348308163,0.03020454979927356,0.16994838463008985,0.060600267635251386,0.04032258064516129,0.08095046314941604,0.672787979966611,0,0.09028727770177838,0.05063291139240506,0,0
